timestamp,lkw_id,verdict,status
2026-06-11T12:52:16.211382,LKW-03,bestätigt,
2026-06-11T12:52:19.447795,LKW-03,Fehlalarm,
2026-06-11T12:52:20.863502,LKW-03,bestätigt,
2026-06-11T15:28:26.782218,LKW-07,bestätigt,
2026-06-11T15:35:40.376957,LKW-01,Fehlalarm,
2026-06-11T16:30:26,LKW-01,bestätigt,KRITISCH
2026-06-12T10:01:38,LKW-01,bestätigt,KRITISCH
2026-06-12T10:01:39,LKW-01,Fehlalarm,KRITISCH
2026-06-12T10:01:40,LKW-01,bestätigt,KRITISCH
2026-06-12T10:01:41,LKW-01,Fehlalarm,KRITISCH
2026-06-12T10:01:41,LKW-01,bestätigt,KRITISCH
2026-06-12T10:01:41,LKW-01,Fehlalarm,KRITISCH
2026-06-12T10:01:42,LKW-01,bestätigt,KRITISCH
2026-06-12T10:01:42,LKW-01,Fehlalarm,KRITISCH
2026-06-12T10:01:42,LKW-01,bestätigt,KRITISCH
2026-06-12T10:01:43,LKW-01,Fehlalarm,KRITISCH
2026-06-12T10:01:43,LKW-01,bestätigt,KRITISCH
2026-06-12T11:21:42,LKW-03,bestätigt,KRITISCH
2026-06-12T19:47:00,LKW-01,bestätigt,KRITISCH
2026-06-12T19:47:02,LKW-01,Fehlalarm,KRITISCH
2026-06-12T20:33:46,LKW-06,bestätigt,OK
2026-06-12T20:34:01,LKW-06,Fehlalarm,OK
