lkw_id,timestamp,rul_hours
LKW-01,2026-05-15,696.0
LKW-01,2026-05-16,696.0
LKW-01,2026-05-17,648.0
LKW-01,2026-05-18,648.0
LKW-01,2026-05-19,600.0
LKW-01,2026-05-20,600.0
LKW-01,2026-05-21,576.0
LKW-01,2026-05-22,552.0
LKW-01,2026-05-23,504.0
LKW-01,2026-05-24,504.0
LKW-01,2026-05-25,468.0
LKW-01,2026-05-26,432.0
LKW-01,2026-05-27,432.0
LKW-01,2026-05-28,408.0
LKW-01,2026-05-29,384.0
LKW-01,2026-05-30,360.0
LKW-01,2026-05-31,336.0
LKW-01,2026-06-01,288.0
LKW-01,2026-06-02,288.0
LKW-01,2026-06-03,264.0
LKW-01,2026-06-04,240.0
LKW-01,2026-06-05,216.0
LKW-01,2026-06-06,192.0
LKW-01,2026-06-07,168.0
LKW-01,2026-06-08,144.0
LKW-01,2026-06-09,120.0
LKW-01,2026-06-10,96.0
LKW-01,2026-06-11,72.0
LKW-01,2026-06-12,48.0
LKW-01,2026-06-13,24.0
LKW-01,2026-06-14,12.0
LKW-02,2026-05-15,456.0
LKW-02,2026-05-16,432.0
LKW-02,2026-05-17,480.0
LKW-02,2026-05-18,600.0
LKW-02,2026-05-19,576.0
LKW-02,2026-05-20,528.0
LKW-02,2026-05-21,528.0
LKW-02,2026-05-22,504.0
LKW-02,2026-05-23,456.0
LKW-02,2026-05-24,480.0
LKW-02,2026-05-25,384.0
LKW-02,2026-05-26,420.0
LKW-02,2026-05-27,408.0
LKW-02,2026-05-28,480.0
LKW-02,2026-05-29,492.0
LKW-02,2026-05-30,960.0
LKW-02,2026-05-31,372.0
LKW-02,2026-06-01,696.0
LKW-02,2026-06-02,372.0
LKW-02,2026-06-03,768.0
LKW-02,2026-06-04,288.0
LKW-02,2026-06-05,264.0
LKW-02,2026-06-06,624.0
LKW-02,2026-06-07,288.0
LKW-02,2026-06-08,228.0
LKW-02,2026-06-09,192.0
LKW-02,2026-06-10,120.0
LKW-02,2026-06-11,96.0
LKW-02,2026-06-12,72.0
LKW-02,2026-06-13,72.0
LKW-02,2026-06-14,72.0
LKW-03,2026-05-15,840.0
LKW-03,2026-05-16,840.0
LKW-03,2026-05-17,816.0
LKW-03,2026-05-18,792.0
LKW-03,2026-05-19,768.0
LKW-03,2026-05-20,744.0
LKW-03,2026-05-21,720.0
LKW-03,2026-05-22,696.0
LKW-03,2026-05-23,672.0
LKW-03,2026-05-24,648.0
LKW-03,2026-05-25,624.0
LKW-03,2026-05-26,600.0
LKW-03,2026-05-27,576.0
LKW-03,2026-05-28,552.0
LKW-03,2026-05-29,528.0
LKW-03,2026-05-30,504.0
LKW-03,2026-05-31,456.0
LKW-03,2026-06-01,432.0
LKW-03,2026-06-02,432.0
LKW-03,2026-06-03,408.0
LKW-03,2026-06-04,384.0
LKW-03,2026-06-05,348.0
LKW-03,2026-06-06,324.0
LKW-03,2026-06-07,312.0
LKW-03,2026-06-08,288.0
LKW-03,2026-06-09,264.0
LKW-03,2026-06-10,240.0
LKW-03,2026-06-11,216.0
LKW-03,2026-06-12,192.0
LKW-03,2026-06-13,168.0
LKW-03,2026-06-14,144.0
LKW-04,2026-05-15,1704.0
LKW-04,2026-05-16,1680.0
LKW-04,2026-05-17,1656.0
LKW-04,2026-05-18,1632.0
LKW-04,2026-05-19,1608.0
LKW-04,2026-05-20,1584.0
LKW-04,2026-05-21,1560.0
LKW-04,2026-05-22,1536.0
