lkw_id,timestamp,brake_fluid_pct,motor_temp_c,oil_pressure_bar,health_score
LKW-01,2026-06-09 21:00:00,51.8,78.3,2.87,0.5198
LKW-01,2026-06-09 21:30:00,51.8,85.0,4.16,0.5196
LKW-01,2026-06-09 22:00:00,51.7,74.5,2.22,0.5194
LKW-01,2026-06-09 22:30:00,51.7,96.0,2.93,0.5192
LKW-01,2026-06-09 23:00:00,51.7,78.1,5.01,0.519
LKW-01,2026-06-09 23:30:00,51.7,85.0,2.81,0.5188
LKW-01,2026-06-10 00:00:00,51.7,82.6,2.33,0.5186
LKW-01,2026-06-10 00:30:00,51.7,90.3,2.09,0.5184
LKW-01,2026-06-10 01:00:00,51.6,85.3,5.1,0.5182
LKW-01,2026-06-10 01:30:00,51.6,84.7,3.58,0.5181
LKW-01,2026-06-10 02:00:00,51.6,88.2,4.68,0.5179
LKW-01,2026-06-10 02:30:00,51.6,89.3,4.42,0.5177
LKW-01,2026-06-10 03:00:00,51.6,90.2,2.94,0.5175
LKW-01,2026-06-10 03:30:00,51.6,88.1,5.04,0.5173
LKW-01,2026-06-10 04:00:00,51.5,76.1,2.32,0.5171
LKW-01,2026-06-10 04:30:00,51.5,80.5,3.16,0.5169
LKW-01,2026-06-10 05:00:00,51.5,85.4,3.36,0.5167
LKW-01,2026-06-10 05:30:00,51.5,90.2,2.01,0.5165
LKW-01,2026-06-10 06:00:00,51.5,85.1,5.11,0.5163
LKW-01,2026-06-10 06:30:00,51.4,80.1,3.87,0.5161
LKW-01,2026-06-10 07:00:00,51.4,76.3,4.22,0.5159
LKW-01,2026-06-10 07:30:00,51.4,88.7,1.84,0.5157
LKW-01,2026-06-10 08:00:00,51.4,74.2,4.53,0.5155
LKW-01,2026-06-10 08:30:00,51.4,82.7,3.59,0.5153
LKW-01,2026-06-10 09:00:00,51.4,81.0,2.85,0.5151
LKW-01,2026-06-10 09:30:00,51.3,78.1,3.14,0.5149
LKW-01,2026-06-10 10:00:00,51.3,79.6,2.75,0.5148
LKW-01,2026-06-10 10:30:00,51.3,84.9,2.84,0.5145
LKW-01,2026-06-10 11:00:00,51.3,81.3,4.37,0.5143
LKW-01,2026-06-10 11:30:00,51.3,83.9,2.97,0.5141
LKW-01,2026-06-10 12:00:00,51.3,86.5,4.93,0.5139
LKW-01,2026-06-10 12:30:00,51.2,81.9,2.44,0.5138
LKW-01,2026-06-10 13:00:00,51.2,79.5,3.98,0.5136
LKW-01,2026-06-10 13:30:00,51.2,80.1,3.1,0.5133
LKW-01,2026-06-10 14:00:00,51.2,68.3,2.61,0.5132
LKW-01,2026-06-10 14:30:00,51.2,83.9,4.34,0.513
LKW-01,2026-06-10 15:00:00,51.2,88.0,3.93,0.5128
LKW-01,2026-06-10 15:30:00,51.1,82.4,2.74,0.5126
LKW-01,2026-06-10 16:00:00,51.1,75.6,4.04,0.5124
LKW-01,2026-06-10 16:30:00,51.1,71.9,3.15,0.5122
LKW-01,2026-06-10 17:00:00,51.1,79.4,3.24,0.512
LKW-01,2026-06-10 17:30:00,51.1,77.0,3.14,0.5119
LKW-01,2026-06-10 18:00:00,51.1,83.8,2.91,0.5117
LKW-01,2026-06-10 18:30:00,51.0,90.3,2.96,0.5115
LKW-01,2026-06-10 19:00:00,51.0,86.9,3.59,0.5113
LKW-01,2026-06-10 19:30:00,51.0,81.7,5.42,0.5111
LKW-01,2026-06-10 20:00:00,51.0,76.4,4.92,0.5109
LKW-01,2026-06-10 20:30:00,51.0,77.9,3.25,0.5107
LKW-01,2026-06-10 21:00:00,51.0,94.0,2.81,0.5106
LKW-01,2026-06-10 21:30:00,50.9,84.2,4.18,0.5104
LKW-01,2026-06-10 22:00:00,50.9,76.1,2.45,0.5103
LKW-01,2026-06-10 22:30:00,50.9,82.0,4.43,0.5101
LKW-01,2026-06-10 23:00:00,50.9,83.8,1.93,0.5099
