truck_id,timestamp,route_type,load_pct,Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,tire_pressure_bar,brake_fluid_pct,odometer_km,temperature_c,precipitation_mm,health_score,Engine Condition,most_anomalous_feature,max_z_score,primary_dtc_code,primary_dtc_german,primary_dtc_action
LKW-01,2026-04-23 00:00:00,Autobahn,64.9,496.25001767959236,1.9435468118416037,5.559884657011161,2.787942919597194,77.67379032132821,75.12039843776506,8.52,93.59,184105.5,14.9,0.0,0.8893,1,Lub oil pressure,1.3731839163427788,,,
LKW-01,2026-04-23 00:30:00,Autobahn,69.6,842.288935944996,4.196673793752484,5.587882882871893,2.191790435961381,75.9402747406042,62.736868482187546,8.47,93.59,184140.4,14.9,0.0,0.8891,1,Coolant temp,2.4431539085277345,P0217,Motorueberhitzung erkannt,"Sofortiger Halt, Kuehlsystem pruefen"
LKW-01,2026-04-23 01:00:00,Autobahn,59.7,1091.131275424127,3.2610248195549905,10.434720730959858,2.757624160308944,80.22502015452764,73.31417885936314,8.6,93.58,184167.1,14.9,0.0,0.8889,1,Engine rpm,1.423311752454044,,,
LKW-01,2026-04-23 01:30:00,Autobahn,82.6,922.9665113710097,2.703293677335794,3.9352845995846826,1.2314016639998455,78.71913347785988,82.05663462759416,8.46,93.58,184203.9,14.9,0.0,0.8887,1,Coolant pressure,1.079496510596075,,,
LKW-01,2026-04-23 02:00:00,Autobahn,76.2,1164.8776422624558,4.584088228336716,4.222118016354581,4.114408728536008,76.674055546771,86.29327076643135,8.52,93.58,184247.7,14.9,0.0,0.8885,1,Coolant pressure,1.789194681329528,,,
LKW-01,2026-04-23 02:30:00,Autobahn,72.3,377.52900796374047,4.274058162391317,11.158058231844684,1.5830156036291454,79.10135943495284,74.98093298844584,8.5,93.58,184277.1,14.9,0.0,0.8883,1,Fuel pressure,1.5326333606767377,,,
LKW-01,2026-04-23 03:00:00,Autobahn,83.0,659.4712461959695,4.287790156454063,7.313996381460675,3.241009490955069,77.10939651021819,79.7087324577961,8.49,93.58,184317.1,14.9,0.0,0.8881,1,Coolant pressure,0.9201323988595128,,,
LKW-01,2026-04-23 03:30:00,Autobahn,68.5,915.9001186408556,4.863804425446694,10.941457329131257,1.9957066497168614,79.21681552186118,75.4539112290609,8.54,93.58,184361.4,14.9,0.0,0.8879,1,Lub oil pressure,1.475148589112856,,,
LKW-01,2026-04-23 04:00:00,Autobahn,70.6,713.6846530833586,4.508516013618272,0.9427495514506053,0.3417627658217808,80.55934707433875,79.8531183484423,8.55,93.58,184411.5,14.9,0.0,0.8878,1,Fuel pressure,2.1453902326257217,P0087,Kraftstoffdruck zu niedrig,"Kraftstofffilter, Leitungen und Pumpe pruefen"
LKW-01,2026-04-23 04:30:00,Autobahn,64.1,969.6280418966048,3.4720262543482128,5.68236571437676,1.9581546532000003,71.49299359235116,80.80385096450712,8.6,93.58,184451.6,14.9,0.0,0.8876,1,lub oil temp,1.9654289229926742,,,
